"Country or Area","Year","Value"
"Australia","2019","416563.532777418"
"Australia","2018","415339.708528084"
"Australia","2017","414597.81806354"
"Australia","2016","410968.519516886"
"Australia","2015","401499.305661256"
"Australia","2014","393952.980236436"
"Australia","2013","397888.448353272"
"Australia","2012","406152.011528631"
"Australia","2011","403830.201097066"
"Australia","2010","405106.165551648"
"Australia","2009","407067.341877984"
"Australia","2008","404233.15172011"
"Australia","2007","399626.195164073"
"Australia","2006","392385.871265719"
"Australia","2005","386155.033530969"
"Australia","2004","382821.979932645"
"Australia","2003","369279.980835857"
"Australia","2002","361540.446286757"
"Australia","2001","357131.933904001"
"Australia","2000","349635.060585577"
"Australia","1999","343488.217538545"
"Australia","1998","334074.451750709"
"Australia","1997","320282.213087614"
"Australia","1996","311885.717399824"
"Australia","1995","305002.587913022"
"Australia","1994","293696.153623735"
"Australia","1993","288871.349703431"
"Australia","1992","284524.958711128"
"Australia","1991","279529.931620889"
"Australia","1990","278155.403911785"
"Austria","2019","67962.4156165222"
"Austria","2018","66565.4083407604"
"Austria","2017","69598.8536207038"
"Austria","2016","67215.4566567337"
"Austria","2015","66351.6189411779"
"Austria","2014","64160.9373689562"
"Austria","2013","67758.6062206802"
"Austria","2012","67263.2737232364"
"Austria","2011","69888.7386657081"
"Austria","2010","72000.28957722"
"Austria","2009","67290.760248936"
"Austria","2008","73472.2669408691"
"Austria","2007","74096.9731805197"
"Austria","2006","76796.4911484262"
"Austria","2005","79067.9612229297"
"Austria","2004","77667.9703530357"
"Austria","2003","77450.5030017877"
"Austria","2002","71942.9596951273"
"Austria","2001","70138.6878700655"
"Austria","2000","66138.7895771373"
"Austria","1999","65639.8805007098"
"Austria","1998","66886.9856096636"
"Austria","1997","67252.0967913926"
"Austria","1996","67355.3429582996"
"Austria","1995","64011.2305565678"
"Austria","1994","61034.437238383"
"Austria","1993","60660.7807889324"
"Austria","1992","60236.4559803878"
"Austria","1991","65738.1917751161"
"Austria","1990","62140.0626687419"
"Belarus","2019","61022.4552604652"
"Belarus","2018","60961.7598170316"
"Belarus","2017","60115.6893169172"
"Belarus","2016","59851.4171186928"
"Belarus","2015","58037.5022240094"
