"Country or Area","Year","Value"
"Australia","2019","98903.8171160212"
"Australia","2018","105111.447634256"
"Australia","2017","104363.554577068"
"Australia","2016","102675.207332473"
"Australia","2015","103029.599303094"
"Australia","2014","102666.225789241"
"Australia","2013","105411.515470065"
"Australia","2012","105789.978930074"
"Australia","2011","105714.333368474"
"Australia","2010","104167.198726005"
"Australia","2009","106670.719190615"
"Australia","2008","107815.096628192"
"Australia","2007","109798.052037951"
"Australia","2006","109623.128938195"
"Australia","2005","110605.68721883"
"Australia","2004","108491.738179822"
"Australia","2003","107155.082170573"
"Australia","2002","113036.425314102"
"Australia","2001","114771.84388915"
"Australia","2000","115904.569162964"
"Australia","1999","112018.679241671"
"Australia","1998","115178.548970905"
"Australia","1997","116002.133779761"
"Australia","1996","113191.958379177"
"Australia","1995","113861.097842933"
"Australia","1994","115294.730439371"
"Australia","1993","118144.438048027"
"Australia","1992","121279.947561535"
"Australia","1991","122319.762698416"
"Australia","1990","123253.759350076"
"Austria","2019","6194.26156471306"
"Austria","2018","6325.92734430326"
"Austria","2017","6522.05505465651"
"Austria","2016","6544.38084647423"
"Austria","2015","6607.27123933778"
"Austria","2014","6693.54319915287"
"Austria","2013","6831.8734984941"
"Austria","2012","6943.12806486109"
"Austria","2011","7056.96715960133"
"Austria","2010","7271.68034820397"
"Austria","2009","7373.07099575822"
"Austria","2008","7469.73178939052"
"Austria","2007","7595.32800725115"
"Austria","2006","7700.77736498971"
"Austria","2005","7800.89277969864"
"Austria","2004","8034.95910623371"
"Austria","2003","8032.04458852772"
"Austria","2002","8095.49295542023"
"Austria","2001","8236.65159939545"
"Austria","2000","8395.16469086861"
"Austria","1999","8566.63821828977"
"Austria","1998","8747.53755435672"
"Austria","1997","8927.2815871027"
"Austria","1996","9229.45164261869"
"Austria","1995","9532.91173784215"
"Austria","1994","9609.78203852663"
"Austria","1993","9899.71327178629"
"Austria","1992","9983.93970112566"
"Austria","1991","10268.8263552252"
"Austria","1990","10393.8887275648"
"Belarus","2019","15736.3560791697"
"Belarus","2018","15627.6158462797"
"Belarus","2017","15465.6879935317"
"Belarus","2016","15301.4637737547"
"Belarus","2015","15415.0353535367"
"Belarus","2014","15495.3379538985"
"Belarus","2013","15531.6113630625"
"Belarus","2012","15134.0732182688"
"Belarus","2011","14769.3052459558"
"Belarus","2010","14716.5771600752"
"Belarus","2009","14372.4228060538"
"Belarus","2008","14378.9292352728"
"Belarus","2007","14314.1275701113"
"Belarus","2006","14033.2787789746"
"Belarus","2005","13699.4774385557"
"Belarus","2004","13281.3164028964"
"Belarus","2003","13070.8250057411"
"Belarus","2002","13120.556532478"
"Belarus","2001","13216.6122964339"
"Belarus","2000","13346.0932160213"
"Belarus","1999","13604.9596397132"
"Belarus","1998","14019.5930889853"
"Belarus","1997","14053.1378786577"
"Belarus","1996","14089.1557330219"
"Belarus","1995","14497.0820531846"
"Belarus","1994","15278.7373930484"
"Belarus","1993","15912.9087557297"
"Belarus","1992","16730.5430601776"
"Belarus","1991","17881.4380991401"
"Belarus","1990","18852.363581023"
"Belgium","2019","7265.37841495616"
"Belgium","2018","7344.98041454766"
"Belgium","2017","7418.75238215927"
"Belgium","2016","7575.57753143102"
"Belgium","2015","7613.32564411345"
"Belgium","2014","7598.56909865979"
"Belgium","2013","7744.8930204543"
"Belgium","2012","7893.97208529677"
"Belgium","2011","7936.66153773417"
"Belgium","2010","8172.28768321292"
"Belgium","2009","8196.1811108021"
"Belgium","2008","8258.82034866049"
"Belgium","2007","8425.88640640865"
"Belgium","2006","8528.95738190839"
"Belgium","2005","8615.46267445585"
"Belgium","2004","8836.14761361462"
"Belgium","2003","8893.88642775352"
"Belgium","2002","9412.36394138579"
"Belgium","2001","9813.16602128983"
"Belgium","2000","10233.6514206856"
"Belgium","1999","10645.7488961431"
"Belgium","1998","10885.630487716"
"Belgium","1997","11059.1969799223"
"Belgium","1996","11176.6058175626"
"Belgium","1995","11313.6646480373"
"Belgium","1994","11249.6878669847"
"Belgium","1993","11218.8500046286"
"Belgium","1992","11415.5486388592"
"Belgium","1991","11492.8384918838"
"Belgium","1990","11533.2238457729"
"Bulgaria","2019","6245.90000900581"
"Bulgaria","2018","6431.3468717128"
"Bulgaria","2017","6700.43778746698"
"Bulgaria","2016","6832.39336926029"
"Bulgaria","2015","7097.715673367"
"Bulgaria","2014","7034.3610676762"
"Bulgaria","2013","7066.45239067286"
"Bulgaria","2012","7135.15096470391"
"Bulgaria","2011","7427.42613979622"
"Bulgaria","2010","7200.79768450814"
"Bulgaria","2009","7124.57510757217"
"Bulgaria","2008","7314.31086114013"
"Bulgaria","2007","7446.86197702888"
"Bulgaria","2006","7471.35790485921"
"Bulgaria","2005","7665.74917367578"
"Bulgaria","2004","8053.75039485239"
"Bulgaria","2003","8554.41987684446"
"Bulgaria","2002","7973.39200925266"
"Bulgaria","2001","7731.58800719201"
"Bulgaria","2000","8439.84137318424"
"Bulgaria","1999","8571.07330667792"
"Bulgaria","1998","9047.42295684329"
"Bulgaria","1997","9659.08349081721"
"Bulgaria","1996","10016.8139406219"
"Bulgaria","1995","10116.483687121"
"Bulgaria","1994","10146.3245557769"
"Bulgaria","1993","12122.0287653035"
"Bulgaria","1992","13262.1685124962"
"Bulgaria","1991","13595.5544753827"
"Bulgaria","1990","14622.9956744234"
"Canada","2019","97761.4829504443"
"Canada","2018","98663.8694972696"
"Canada","2017","98584.809324245"
"Canada","2016","98769.6181883453"
"Canada","2015","102246.023890329"
"Canada","2014","104944.369859088"
"Canada","2013","103533.687672215"
"Canada","2012","102573.735963735"
"Canada","2011","100779.777958608"
"Canada","2010","101405.952345737"
"Canada","2009","103811.106035793"
"Canada","2008","110211.846745115"
"Canada","2007","112230.060939588"
"Canada","2006","114127.87436146"
"Canada","2005","115563.136134804"
"Canada","2004","116725.26812215"
"Canada","2003","116514.954416349"
"Canada","2002","117514.887859377"
"Canada","2001","119627.839812846"
"Canada","2000","120789.217215545"
"Canada","1999","119929.783775874"
"Canada","1998","119286.354915367"
"Canada","1997","118546.96397234"
"Canada","1996","119349.521214605"
"Canada","1995","115117.644812759"
"Canada","1994","109803.400300877"
"Canada","1993","105314.368694564"
"Canada","1992","101439.477974411"
"Canada","1991","96256.6217135423"
"Canada","1990","93257.2107915906"
"Croatia","2019","3557.12755920784"
"Croatia","2018","3613.73255517873"
"Croatia","2017","3757.87150373803"
"Croatia","2016","3796.31629886405"
"Croatia","2015","3737.76261148772"
"Croatia","2014","3639.25570833756"
"Croatia","2013","3675.93691884825"
"Croatia","2012","3775.21055342434"
"Croatia","2011","3819.69750382651"
"Croatia","2010","3867.0271653415"
"Croatia","2009","3803.62789817642"
"Croatia","2008","3730.21129727168"
"Croatia","2007","3755.93021870961"
"Croatia","2006","3751.32659397474"
"Croatia","2005","3646.48867158939"
"Croatia","2004","3623.93265635386"
"Croatia","2003","3530.89744711038"
"Croatia","2002","3362.68447598125"
"Croatia","2001","3354.74994331443"
"Croatia","2000","3282.48059171562"
"Croatia","1999","3325.88921436884"
"Croatia","1998","3271.75628811094"
"Croatia","1997","3295.48497681469"
"Croatia","1996","3321.09103288237"
"Croatia","1995","3359.68901197706"
