"Country or Area","Year","Value"
"Australia","2019","18800.5734518609"
"Australia","2018","19626.0687046663"
"Australia","2017","20800.0348413528"
"Australia","2016","19083.3867775355"
"Australia","2015","19080.911130076"
"Australia","2014","19674.2503291659"
"Australia","2013","19247.9373051006"
"Australia","2012","20418.8213960303"
"Australia","2011","20091.6704032698"
"Australia","2010","19346.8980724781"
"Australia","2009","19511.8632990729"
"Australia","2008","19133.6596756951"
"Australia","2007","18797.8095085147"
"Australia","2006","20399.637603227"
"Australia","2005","20493.67554297"
"Australia","2004","20418.2989383681"
"Australia","2003","18720.8153581285"
"Australia","2002","19896.5474691936"
"Australia","2001","19383.1436745595"
"Australia","2000","19090.7454710131"
"Australia","1999","18137.8241436849"
"Australia","1998","17669.6795600968"
"Australia","1997","17575.0220886182"
"Australia","1996","16758.5054789552"
"Australia","1995","15498.4164060071"
"Australia","1994","16338.1862822532"
"Australia","1993","15899.0155543806"
"Australia","1992","15426.5992688325"
"Australia","1991","15608.6006573673"
"Australia","1990","16010.8051505526"
"Austria","2019","3446.84966020337"
"Austria","2018","3446.65842923316"
"Austria","2017","3476.53664594509"
"Austria","2016","3535.73389294081"
"Austria","2015","3449.99634913758"
"Austria","2014","3436.28346804871"
"Austria","2013","3347.96284011988"
"Austria","2012","3364.88528357097"
"Austria","2011","3396.44082310822"
"Austria","2010","3303.44433025438"
"Austria","2009","3498.19078730352"
"Austria","2008","3718.83179749539"
"Austria","2007","3537.04108583084"
"Austria","2006","3522.87852987118"
"Austria","2005","3514.74186860581"
"Austria","2004","3516.83454865242"
"Austria","2003","4102.51936533029"
"Austria","2002","4112.25074731666"
"Austria","2001","4107.49257039255"
"Austria","2000","4231.80601556858"
"Austria","1999","4251.2043574739"
"Austria","1998","4259.73069474445"
"Austria","1997","4212.1278764497"
"Austria","1996","4185.64595285882"
"Austria","1995","4155.40519404169"
"Austria","1994","4059.05517255695"
"Austria","1993","4106.38616692195"
"Austria","1992","4076.49794701645"
"Austria","1991","4264.66630389686"
"Austria","1990","4230.70117627617"
"Belarus","2019","13350.0563372953"
"Belarus","2018","12471.7723242898"
"Belarus","2017","12957.9182975903"
"Belarus","2016","12589.4026279519"
"Belarus","2015","12520.4014693892"
"Belarus","2014","12934.1625143173"
"Belarus","2013","13492.8062985173"
"Belarus","2012","13559.9522484781"
"Belarus","2011","13941.766362334"
"Belarus","2010","13201.2844877452"
"Belarus","2009","13396.0378774108"
"Belarus","2008","13133.9372401005"
"Belarus","2007","12499.4153729287"
"Belarus","2006","12674.2776618974"
"Belarus","2005","11972.2416401649"
"Belarus","2004","11622.0360621262"
"Belarus","2003","11272.4164878849"
"Belarus","2002","10659.7265448036"
"Belarus","2001","11883.0107725837"
"Belarus","2000","11664.6552347984"
"Belarus","1999","11550.6139590837"
"Belarus","1998","14945.8074757079"
"Belarus","1997","12137.1465799344"
"Belarus","1996","11831.5575484855"
"Belarus","1995","11437.9026519964"
"Belarus","1994","11996.0425025095"
"Belarus","1993","14455.6450301581"
"Belarus","1992","14551.452745092"
"Belarus","1991","16179.0122917788"
"Belarus","1990","16542.0732157561"
"Belgium","2019","5530.02533650619"
"Belgium","2018","5655.13645598959"
"Belgium","2017","5919.24546252545"
"Belgium","2016","5739.12492294922"
"Belgium","2015","6016.67367241845"
"Belgium","2014","6162.0594520629"
"Belgium","2013","6154.19490412858"
"Belgium","2012","6311.04283518234"
"Belgium","2011","6340.58854770266"
"Belgium","2010","7544.1862235228"
"Belgium","2009","7026.43922377557"
"Belgium","2008","6927.68202376389"
"Belgium","2007","6960.7902765154"
"Belgium","2006","7495.40879049899"
"Belgium","2005","8494.16077713452"
"Belgium","2004","8740.75680800121"
"Belgium","2003","8562.57965090184"
"Belgium","2002","9462.2240480043"
"Belgium","2001","9808.14137942408"
"Belgium","2000","10198.5763009082"
"Belgium","1999","10919.2875594923"
"Belgium","1998","10913.7229381635"
"Belgium","1997","11030.2071690612"
"Belgium","1996","11253.620619954"
"Belgium","1995","10815.709228288"
"Belgium","1994","10333.5849600644"
"Belgium","1993","9930.06676094751"
"Belgium","1992","9655.99305368923"
"Belgium","1991","9931.50415085355"
